Behaviour,occurrence,Actor,Receiver,T_start,T_stop,treatment_rep,treatment,time_sec
G,1,1,17,2021-04-26T10:58:43.836633270Z,2021-04-26T10:58:54.337123144Z,R9SP,pre,11.00000006
G,1,1,6,2021-04-26T11:02:52.963844315Z,2021-04-26T11:03:02.213958359Z,R9SP,pre,9.999999823
G,1,1,6,2021-04-26T11:06:04.090641918Z,2021-04-26T11:06:18.965772344Z,R9SP,pre,14.00000013
G,1,1,10,2021-04-26T11:07:19.466238424Z,2021-04-26T11:07:50.716630665Z,R9SP,pre,31.00000033
G,1,1,6,2021-04-26T11:09:46.343041691Z,2021-04-26T11:10:08.343253138Z,R9SP,pre,22.00000011
GQ,1,6,1,2021-04-26T11:10:08.343253138Z,2021-04-26T11:11:22.843551726Z,R9SP,pre,73.9999997
SG,1,2,,2021-04-26T11:07:36.841489060Z,2021-04-26T11:07:51.466541029Z,R9SP,pre,15.00000036
SG,1,3,,2021-04-26T10:56:58.585689283Z,2021-04-26T10:57:24.085915364Z,R9SP,pre,26.00000042
SG,1,3,,2021-04-26T10:57:30.960983582Z,2021-04-26T10:57:38.836076180Z,R9SP,pre,7.999999984
FR,1,3,26,2021-04-26T11:00:45.963124241Z,2021-04-26T11:00:50.837801755Z,R9SP,pre,4.999999912
FR,1,3,26,2021-04-26T11:01:41.838244377Z,2021-04-26T11:02:03.088425884Z,R9SP,pre,22.00000011
SG,1,3,,2021-04-26T11:07:14.216153499Z,2021-04-26T11:07:20.966359443Z,R9SP,pre,6.000000145
SG,1,3,,2021-04-26T11:07:51.591618571Z,2021-04-26T11:08:22.841878814Z,R9SP,pre,30.9999997
SG,1,3,,2021-04-26T11:10:02.467883273Z,2021-04-26T11:10:41.218104262Z,R9SP,pre,38.99999969
SG,1,3,,2021-04-26T11:10:49.718247569Z,2021-04-26T11:11:08.968417347Z,R9SP,pre,19.00000004
CR,1,12,4,2021-04-26T10:56:54.835594623Z,2021-04-26T10:56:59.960723663Z,R9SP,pre,4.999999912
T,1,4,18,2021-04-26T11:06:09.840678348Z,2021-04-26T11:06:25.340833113Z,R9SP,pre,16.0000006
FR,1,4,32,2021-04-26T11:08:52.467191408Z,2021-04-26T11:08:56.967214301Z,R9SP,pre,3.999999678
CR,1,12,4,2021-04-26T11:10:59.968324998Z,2021-04-26T11:11:20.718542927Z,R9SP,pre,20.99999988
SG,1,5,,2021-04-26T11:03:36.964297439Z,2021-04-26T11:03:44.839363841Z,R9SP,pre,7.999999984
SG,1,5,,2021-04-26T11:03:56.339457664Z,2021-04-26T11:04:00.089505023Z,R9SP,pre,3.999999678
SG,1,5,,2021-04-26T11:04:10.964611002Z,2021-04-26T11:04:31.215176833Z,R9SP,pre,20.99999988
SG,1,5,,2021-04-26T11:04:34.965242853Z,2021-04-26T11:05:44.215384053Z,R9SP,pre,70.00000002
SG,1,5,,2021-04-26T11:05:52.090535654Z,2021-04-26T11:06:06.340667057Z,R9SP,pre,14.00000013
SG,1,5,,2021-04-26T11:06:10.341073279Z,2021-04-26T11:06:31.466268142Z,R9SP,pre,20.99999988
SG,1,5,,2021-04-26T11:06:36.466325251Z,2021-04-26T11:07:44.591565512Z,R9SP,pre,68.00000018
SG,1,5,,2021-04-26T11:07:49.591614948Z,2021-04-26T11:07:58.466689942Z,R9SP,pre,9.000000218
SG,1,5,,2021-04-26T11:08:05.466801916Z,2021-04-26T11:08:14.717248917Z,R9SP,pre,9.000000218
SG,1,5,,2021-04-26T11:08:57.592295939Z,2021-04-26T11:09:06.467677548Z,R9SP,pre,9.000000218
FR,1,5,34,2021-04-26T11:09:08.217315145Z,2021-04-26T11:09:28.092417796Z,R9SP,pre,19.99999965
SG,1,5,,2021-04-26T11:11:03.843309979Z,2021-04-26T11:11:20.468521755Z,R9SP,pre,17.0000002
CR,1,6,27,2021-04-26T11:00:15.462866028Z,2021-04-26T11:01:04.837905903Z,R9SP,pre,49.00000014
G,1,1,6,2021-04-26T11:02:52.963844315Z,2021-04-26T11:03:02.213958359Z,R9SP,pre,9.999999823
G,1,1,6,2021-04-26T11:06:04.090641918Z,2021-04-26T11:06:18.965772344Z,R9SP,pre,14.00000013
FR,1,6,1,2021-04-26T11:06:43.340984351Z,2021-04-26T11:07:00.091129916Z,R9SP,pre,16.99999957
G,1,1,6,2021-04-26T11:09:46.343041691Z,2021-04-26T11:10:08.343253138Z,R9SP,pre,22.00000011
GQ,1,6,1,2021-04-26T11:10:08.343253138Z,2021-04-26T11:11:22.843551726Z,R9SP,pre,73.9999997
FR,1,8,22,2021-04-26T11:06:49.841048880Z,2021-04-26T11:06:56.216034310Z,R9SP,pre,6.99999975
SG,1,8,,2021-04-26T11:07:27.716409351Z,2021-04-26T11:07:31.716820800Z,R9SP,pre,4.000000306
SG,1,9,,2021-04-26T10:57:10.585821910Z,2021-04-26T10:57:16.085816002Z,R9SP,pre,6.000000145
SG,1,9,,2021-04-26T11:07:57.341663928Z,2021-04-26T11:08:33.592200803Z,R9SP,pre,36.00000024
CR,1,9,17,2021-04-26T11:09:25.967464063Z,2021-04-26T11:10:14.468309552Z,R9SP,pre,48.99999951
T,1,10,18,2021-04-26T11:06:40.215965340Z,2021-04-26T11:06:52.216063771Z,R9SP,pre,11.99999966
G,1,1,10,2021-04-26T11:07:19.466238424Z,2021-04-26T11:07:50.716630665Z,R9SP,pre,31.00000033
SG,1,10,,2021-04-26T11:08:01.966731800Z,2021-04-26T11:08:16.091751475Z,R9SP,pre,14.99999973
SG,1,11,,2021-04-26T10:56:27.335425430Z,2021-04-26T10:56:29.960833590Z,R9SP,pre,1.999999839
SG,1,11,,2021-04-26T10:58:14.586392494Z,2021-04-26T10:58:16.211302439Z,R9SP,pre,1.999999839
T,1,11,14,2021-04-26T10:59:10.461894503Z,2021-04-26T10:59:19.086906608Z,R9SP,pre,9.000000218
SG,1,11,,2021-04-26T10:59:35.462534103Z,2021-04-26T10:59:48.212216744Z,R9SP,pre,12.9999999
SG,1,11,,2021-04-26T10:59:52.837648562Z,2021-04-26T10:59:59.337241556Z,R9SP,pre,6.99999975
FR,1,11,14,2021-04-26T11:00:00.462341331Z,2021-04-26T11:00:05.712351584Z,R9SP,pre,4.999999912
CR,1,11,14,2021-04-26T11:00:56.962735323Z,2021-04-26T11:01:02.087870837Z,R9SP,pre,6.000000145
SG,1,11,,2021-04-26T11:07:53.716624614Z,2021-04-26T11:08:04.967122589Z,R9SP,pre,11.00000006
SG,1,12,,2021-04-26T10:56:20.585361056Z,2021-04-26T10:56:46.585581727Z,R9SP,pre,26.00000042
CR,1,12,4,2021-04-26T10:56:54.835594623Z,2021-04-26T10:56:59.960723663Z,R9SP,pre,4.999999912
SG,1,12,,2021-04-26T10:57:15.085844012Z,2021-04-26T10:57:20.335825636Z,R9SP,pre,4.999999912
SG,1,12,,2021-04-26T10:59:18.461884276Z,2021-04-26T10:59:21.337073583Z,R9SP,pre,3.000000073
CR,1,12,4,2021-04-26T11:10:59.968324998Z,2021-04-26T11:11:20.718542927Z,R9SP,pre,20.99999988
SG,1,13,,2021-04-26T11:05:59.715581355Z,2021-04-26T11:06:06.590665854Z,R9SP,pre,7.000000379
SG,1,13,,2021-04-26T11:08:15.216823198Z,2021-04-26T11:08:29.341960815Z,R9SP,pre,13.9999995
SG,1,13,,2021-04-26T11:08:32.716922747Z,2021-04-26T11:09:14.467375456Z,R9SP,pre,42.00000039
SG,1,13,,2021-04-26T11:09:21.717433588Z,2021-04-26T11:09:49.092679826Z,R9SP,pre,28.00000026
SG,1,14,,2021-04-26T10:56:24.585372109Z,2021-04-26T10:56:29.210444095Z,R9SP,pre,4.999999912
SG,1,14,,2021-04-26T10:57:00.710647267Z,2021-04-26T10:57:04.961180877Z,R9SP,pre,3.999999678
SG,1,14,,2021-04-26T10:57:09.085796810Z,2021-04-26T10:57:14.710726060Z,R9SP,pre,4.999999912
SG,1,14,,2021-04-26T10:58:25.711508044Z,2021-04-26T10:59:05.461842858Z,R9SP,pre,39.99999992
T,1,14,11,2021-04-26T10:59:10.461894503Z,2021-04-26T10:59:19.086906608Z,R9SP,pre,9.000000218
SG,1,14,,2021-04-26T10:59:30.712071016Z,2021-04-26T10:59:53.712286325Z,R9SP,pre,22.99999972
FR,1,14,11,2021-04-26T11:00:00.462341331Z,2021-04-26T11:00:05.712351584Z,R9SP,pre,4.999999912
CR,1,11,14,2021-04-26T11:00:56.962735323Z,2021-04-26T11:01:02.087870837Z,R9SP,pre,6.000000145
SG,1,14,,2021-04-26T11:01:11.712903840Z,2021-04-26T11:01:37.088205030Z,R9SP,pre,26.00000042
SG,1,14,,2021-04-26T11:01:40.338168621Z,2021-04-26T11:02:02.838402464Z,R9SP,pre,22.00000011
SG,1,14,,2021-04-26T11:02:20.088552665Z,2021-04-26T11:02:41.088720473Z,R9SP,pre,20.99999988
SG,1,14,,2021-04-26T11:03:55.339514026Z,2021-04-26T11:04:06.714567126Z,R9SP,pre,11.00000006
SG,1,14,,2021-04-26T11:06:35.715928566Z,2021-04-26T11:06:46.341401113Z,R9SP,pre,11.00000006
SG,1,14,,2021-04-26T11:07:36.966489114Z,2021-04-26T11:07:40.841904579Z,R9SP,pre,4.000000306
FR,1,15,18,2021-04-26T11:05:51.465514462Z,2021-04-26T11:05:53.090500402Z,R9SP,pre,1.999999839
SG,1,15,,2021-04-26T11:06:10.341073279Z,2021-04-26T11:06:15.341159818Z,R9SP,pre,4.999999912
SG,1,16,,2021-04-26T10:57:26.210955502Z,2021-04-26T10:57:38.585988748Z,R9SP,pre,11.99999966
FR,1,16,19,2021-04-26T10:58:27.211428935Z,2021-04-26T11:01:04.087909502Z,R9SP,pre,157.0000002
T,1,16,19,2021-04-26T11:01:04.087909502Z,2021-04-26T11:01:58.838414295Z,R9SP,pre,54.00000005
SG,1,17,,2021-04-26T10:57:09.835809787Z,2021-04-26T10:57:13.335846374Z,R9SP,pre,4.000000306
SG,1,17,,2021-04-26T10:57:35.336460696Z,2021-04-26T10:58:31.211535296Z,R9SP,pre,55.99999989
G,1,1,17,2021-04-26T10:58:43.836633270Z,2021-04-26T10:58:54.337123144Z,R9SP,pre,11.00000006
SG,1,17,,2021-04-26T10:59:16.336910455Z,2021-04-26T11:00:13.837452258Z,R9SP,pre,57.00000012
SG,1,17,,2021-04-26T11:01:06.712847643Z,2021-04-26T11:01:12.462904629Z,R9SP,pre,6.000000145
SG,1,17,,2021-04-26T11:03:20.714071346Z,2021-04-26T11:03:28.589642555Z,R9SP,pre,7.999999984
SG,1,17,,2021-04-26T11:04:28.839758580Z,2021-04-26T11:04:38.464856724Z,R9SP,pre,9.999999823
SG,1,17,,2021-04-26T11:04:40.090295145Z,2021-04-26T11:05:07.340110628Z,R9SP,pre,27.00000003
SG,1,17,,2021-04-26T11:05:32.215349623Z,2021-04-26T11:05:43.340437478Z,R9SP,pre,11.00000006
SG,1,17,,2021-04-26T11:06:47.341022958Z,2021-04-26T11:07:00.091129916Z,R9SP,pre,12.9999999
SG,1,17,,2021-04-26T11:07:11.966280671Z,2021-04-26T11:07:41.341507709Z,R9SP,pre,30.0000001
SG,1,17,,2021-04-26T11:07:59.341689229Z,2021-04-26T11:08:30.966909312Z,R9SP,pre,30.9999997
SG,1,18,,2021-04-26T10:58:41.337010628Z,2021-04-26T10:59:22.211989769Z,R9SP,pre,41.00000015
SG,1,18,,2021-04-26T11:02:29.463620481Z,2021-04-26T11:02:41.463791447Z,R9SP,pre,12.00000029
T,1,18,4,2021-04-26T11:06:09.840678348Z,2021-04-26T11:06:25.340833113Z,R9SP,pre,16.0000006
SG,1,18,,2021-04-26T11:06:29.715801974Z,2021-04-26T11:06:35.465864555Z,R9SP,pre,6.000000145
T,1,18,10,2021-04-26T11:06:40.215965340Z,2021-04-26T11:06:52.216063771Z,R9SP,pre,11.99999966
T,1,18,34,2021-04-26T11:07:30.466414386Z,2021-04-26T11:07:43.591968629Z,R9SP,pre,12.9999999
SG,1,18,,2021-04-26T11:07:49.466580097Z,2021-04-26T11:07:56.216569889Z,R9SP,pre,7.000000379
SG,1,18,,2021-04-26T11:08:03.716718688Z,2021-04-26T11:08:08.842211969Z,R9SP,pre,4.999999912
SG,1,18,,2021-04-26T11:08:29.216950591Z,2021-04-26T11:08:37.342421662Z,R9SP,pre,7.999999984
FR,1,18,29,2021-04-26T11:08:38.592018669Z,2021-04-26T11:08:45.342031259Z,R9SP,pre,6.99999975
SG,1,18,,2021-04-26T11:08:51.217053302Z,2021-04-26T11:09:07.717310319Z,R9SP,pre,15.99999997
FR,1,18,30,2021-04-26T11:10:52.093199087Z,2021-04-26T11:10:57.593247400Z,R9SP,pre,4.999999912
SG,1,19,,2021-04-26T10:56:32.710468896Z,2021-04-26T10:56:49.335623897Z,R9SP,pre,17.0000002
SG,1,19,,2021-04-26T10:57:02.835624695Z,2021-04-26T10:57:14.210842180Z,R9SP,pre,11.99999966
SG,1,19,,2021-04-26T10:57:30.835989217Z,2021-04-26T10:57:55.836071651Z,R9SP,pre,25.00000019
FR,1,19,16,2021-04-26T10:58:27.211428935Z,2021-04-26T11:01:04.087909502Z,R9SP,pre,157.0000002
T,1,19,16,2021-04-26T11:01:04.087909502Z,2021-04-26T11:01:58.838414295Z,R9SP,pre,54.00000005
SG,1,20,,2021-04-26T10:57:03.960763566Z,2021-04-26T10:57:06.835769341Z,R9SP,pre,3.000000073
SG,1,20,,2021-04-26T10:58:03.586287924Z,2021-04-26T10:58:29.586898288Z,R9SP,pre,26.00000042
SG,1,21,,2021-04-26T11:01:40.088271155Z,2021-04-26T11:01:43.213651986Z,R9SP,pre,3.000000073
SG,1,21,,2021-04-26T11:01:47.213313587Z,2021-04-26T11:01:58.838414295Z,R9SP,pre,11.00000006
SG,1,21,,2021-04-26T11:02:17.463549298Z,2021-04-26T11:02:31.213692815Z,R9SP,pre,14.00000013
SG,1,21,,2021-04-26T11:08:17.966853977Z,2021-04-26T11:08:30.092344677Z,R9SP,pre,12.9999999
SG,1,21,,2021-04-26T11:08:50.967583965Z,2021-04-26T11:08:55.467623778Z,R9SP,pre,4.999999912
SG,1,21,,2021-04-26T11:09:01.217228223Z,2021-04-26T11:09:06.467677548Z,R9SP,pre,5.00000054
SG,1,21,,2021-04-26T11:09:17.092820684Z,2021-04-26T11:09:21.217369004Z,R9SP,pre,3.999999678
SG,1,21,,2021-04-26T11:09:24.842396317Z,2021-04-26T11:10:30.468035923Z,R9SP,pre,65.99999971
SG,1,22,,2021-04-26T10:57:39.961060815Z,2021-04-26T10:57:58.211161954Z,R9SP,pre,19.00000004
SG,1,22,,2021-04-26T10:58:04.836724407Z,2021-04-26T10:58:55.711750073Z,R9SP,pre,50.99999998
SG,1,22,,2021-04-26T11:03:27.839212210Z,2021-04-26T11:03:30.964247595Z,R9SP,pre,3.000000073
SG,1,22,,2021-04-26T11:03:37.214314690Z,2021-04-26T11:03:43.964368602Z,R9SP,pre,6.000000145
SG,1,22,,2021-04-26T11:03:47.089376714Z,2021-04-26T11:03:50.964459381Z,R9SP,pre,3.000000073
SG,1,22,,2021-04-26T11:03:53.964835632Z,2021-04-26T11:04:04.839541353Z,R9SP,pre,11.00000006
SG,1,22,,2021-04-26T11:04:08.714571350Z,2021-04-26T11:04:22.089701508Z,R9SP,pre,14.00000013
G,1,22,24,2021-04-26T11:04:27.714728646Z,2021-04-26T11:04:51.839964261Z,R9SP,pre,23.99999995
SG,1,22,,2021-04-26T11:05:43.715437316Z,2021-04-26T11:05:52.590566043Z,R9SP,pre,9.000000218
FR,1,22,8,2021-04-26T11:06:49.841048880Z,2021-04-26T11:06:56.216034310Z,R9SP,pre,6.99999975
SG,1,22,,2021-04-26T11:11:09.218430886Z,2021-04-26T11:11:19.843522937Z,R9SP,pre,9.999999823
T,1,23,29,2021-04-26T10:56:37.960830007Z,2021-04-26T10:56:48.585525461Z,R9SP,pre,11.00000006
SG,1,23,,2021-04-26T10:58:08.586227333Z,2021-04-26T10:58:19.961442892Z,R9SP,pre,11.00000006
SG,1,23,,2021-04-26T10:58:25.211467531Z,2021-04-26T10:58:42.086641137Z,R9SP,pre,17.0000002
SG,1,24,,2021-04-26T10:59:56.962693749Z,2021-04-26T11:00:18.712503243Z,R9SP,pre,22.00000011
